lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_Goby.1,a_Goby.2,a_Goby.3,a_bar_Goby,sigma_Goby,U.1,U.2,U.3,Rho_errors.1.1,Rho_errors.2.1,Rho_errors.1.2,Rho_errors.2.2,sigma_errors.1,sigma_errors.2,beta_Rain,beta_Wind,beta_Year_2,beta_Year,beta_SB_count,beta_SC_count,beta_Temp,beta_BreachDays,beta_DO,beta_SAV,a_Rain,a_Wind,a_BreachDays,a_Temp,a_SAV,a_SC,a_SB,a_DO,beta_Temp_2,beta_Micro,beta_SAV_2,beta_Substrate,beta_Goby_lag,beta_BreachDays_2,k_U_bio,k_U,tau,phi
# Adaptation terminated
# Step size = 0.0889068
# Diagonal elements of inverse mass matrix:
# 0.0161192, 0.0174738, 0.015187, 0.319341, 0.213619, 0.410718, 0.337294, 0.407458, 0.00305071, 0.00158545, 0.00157765, 0.00115671, 0.000626591, 0.00296126, 0.00256523, 0.0104723, 0.0109411, 0.000846893, 0.000783165, 0.00139044, 0.00337752, 0.00322832, 0.00308131, 0.00598461, 0.006081, 0.0176113, 0.0319191, 0.0277719, 0.00610108, 0.00124583, 0.00244076, 0.0622453, 0.00709481, 0.00218595, 0.00135138, 1.48499, 1.71868, 0.000386138, 0.00705071
-2066.65,0.987753,0.0889068,6,63,0,2097.42,2.35557,2.82345,2.18854,0.26585,1.74705,0.837591,0.568846,1.36764,1,0.000698128,0.000698128,1,0.972558,0.974732,0.66601,-0.588757,-0.203716,0.208309,0.245543,-0.667294,0.376978,0.313956,0.47845,0.432243,-0.00217745,-0.126785,-0.0966434,-0.0954493,-0.238482,-0.648263,-0.392967,-0.0964999,-0.465861,0.118633,-0.582967,-0.299563,0.0251606,-0.152659,0.224501,0.0810511,0.603378,0.45364
-2067.36,0.960045,0.0889068,6,63,0,2089.23,2.18154,2.74332,1.97732,1.38336,0.864767,0.554238,0.458148,1.14411,1,-0.0306919,-0.0306919,1,1.02468,1.02727,0.728307,-0.587757,-0.130002,0.0630435,0.281542,-0.550579,0.382303,0.387641,0.606966,0.329808,-0.0310997,0.0712483,-0.0769395,-0.13583,-0.0404611,-0.406318,0.0247893,-0.0722789,-0.530584,0.169436,0.250153,-0.327988,0.0843481,-0.114507,0.0638977,0.13221,0.56202,0.663093
-2059.93,0.935107,0.0889068,5,31,0,2087.36,2.3109,2.67574,2.05054,0.854266,1.12772,-0.0778736,-0.0581982,0.275842,1,-0.087333,-0.087333,1,0.964608,0.972777,0.703566,-0.58711,-0.150593,0.123946,0.367053,-0.537502,0.365827,0.363634,0.503157,0.344611,-0.0475658,-0.0030364,0.00671127,-0.00667226,-0.0672312,-0.3384,-0.0867831,-0.0195418,-0.469733,0.155115,-0.211457,-0.377963,0.0396667,-0.0968324,0.00107494,0.100822,0.589648,0.475059
-2070.47,0.968292,0.0889068,5,31,0,2083.77,2.3608,2.64269,2.06648,1.0317,2.11436,-0.0574305,0.186966,0.893713,1,-0.108827,-0.108827,1,0.962537,0.995578,0.726848,-0.559673,-0.106308,0.144732,0.373977,-0.484767,0.383543,0.332516,0.52343,0.378767,-0.0344183,-0.02038,-0.00223901,0.00129959,0.056745,-0.576574,-0.0698193,-0.0785947,-0.465972,0.20582,-0.306718,-0.495789,0.0647138,-0.0706322,0.00346316,0.0476696,0.58908,0.425069
-2064.77,0.99947,0.0889068,5,31,0,2084.93,2.36777,2.837,2.0972,0.636818,1.1377,-0.826085,0.0317312,0.847509,1,0.0653334,0.0653334,1,1.05376,0.962272,0.727292,-0.614426,-0.259257,0.151179,0.423664,-0.622267,0.391635,0.388257,0.529619,0.355701,0.0304199,-0.0629585,-0.0544763,-0.0273304,0.045661,-0.382611,-0.136775,0.0207263,-0.486041,0.0956525,-0.0137392,-0.24601,-0.0225014,-0.0965432,0.0219711,0.023961,0.615769,0.586452
-2062.24,0.488305,0.0889068,5,63,0,2082.99,2.35036,2.70278,2.12194,0.411074,2.66255,-0.350557,-0.186297,-0.206008,1,-0.103803,-0.103803,1,1.03688,1.05562,0.668635,-0.605222,-0.173114,0.16513,0.445953,-0.518484,0.338588,0.37371,0.554977,0.412723,0.0810461,0.0617165,0.0900224,0.0443039,0.216992,-0.415787,0.0207218,0.0378292,-0.560088,0.0781239,0.0689005,-0.488531,0.0698777,-0.099075,0.757028,0.272401,0.581514,0.393043
-2063.3,0.735082,0.0889068,6,63,0,2090.61,2.22574,2.61734,2.08133,0.651269,1.28754,0.639282,0.637053,1.01396,1,0.0492607,0.0492607,1,0.962036,0.933093,0.739424,-0.600104,-0.223298,0.0447117,0.373644,-0.41996,0.401043,0.363006,0.487843,0.353396,-0.0618992,-0.0575029,-0.0974562,-0.0587003,-0.169471,-0.609936,-0.403192,-0.0347548,-0.446453,0.181968,-0.388124,-0.302132,-0.0673739,-0.0863603,0.208922,0.0965354,0.610693,0.543357
-2061.68,0.912381,0.0889068,6,63,0,2089.3,2.24137,2.61392,1.83911,0.460024,1.38632,0.0483556,0.11546,0.184455,1,0.00437004,0.00437004,1,0.946075,0.940503,0.708842,-0.620094,-0.125771,0.201882,0.39132,-0.549316,0.358964,0.382072,0.524661,0.297521,-0.157163,-0.0701308,-0.0349453,-0.0563982,-0.166664,-0.473178,-0.494306,0.0028671,-0.476353,0.194705,-0.200493,-0.322415,0.0206369,-0.072867,0.994644,0.378686,0.601117,0.500921
-2061.96,0.728967,0.0889068,5,63,0,2081.78,2.21981,2.57746,2.04354,0.772797,1.7447,0.29128,0.364992,0.687933,1,0.0206832,0.0206832,1,0.949685,0.981437,0.711936,-0.550198,-0.235599,0.165214,0.410032,-0.592398,0.380243,0.363211,0.572891,0.403124,-0.0088294,0.0139552,-0.0629776,-0.0197872,-0.10693,-0.708425,-0.094105,-0.0139609,-0.499844,0.171797,0.0332327,-0.337904,0.0644159,0.0303757,0.234417,0.108042,0.586694,0.493729
-2059.56,0.925508,0.0889068,5,31,0,2077.75,2.1766,2.65036,2.12835,0.954971,2.06251,0.155278,0.339609,0.780309,1,0.00834643,0.00834643,1,0.979128,0.968059,0.73989,-0.555015,-0.221226,0.140575,0.403745,-0.616425,0.376247,0.358645,0.543323,0.384188,-0.0352598,-0.00857142,-0.028365,0.0325505,-0.0781356,-0.493851,-0.130423,-0.00989093,-0.526291,0.173224,-0.0214329,-0.3572,0.0689755,-0.0109976,0.212179,0.0398321,0.579865,0.588009
